frame,detected,det_conf,crop_px,score,verdict
frame_000222_UNKNOWN_-0.433,1,,80,-0.2048,UNKNOWN
frame_000223_UNKNOWN_-0.468,1,,80,-0.1597,UNKNOWN
frame_000224_UNKNOWN_-0.412,1,,79,-0.2218,UNKNOWN
frame_000225_UNKNOWN_-0.371,1,,79,-0.2087,UNKNOWN
frame_000226_UNKNOWN_-0.469,1,,85,-0.1921,UNKNOWN
frame_000227_UNKNOWN_-0.395,1,,82,-0.213,UNKNOWN
frame_000228_UNKNOWN_-0.370,1,,83,-0.1703,UNKNOWN
frame_000229_UNKNOWN_-0.463,1,,83,-0.2701,UNKNOWN
frame_000230_UNKNOWN_-0.420,1,,83,-0.2434,UNKNOWN
frame_000231_UNKNOWN_-0.411,1,,81,-0.1557,UNKNOWN
frame_000232_UNKNOWN_-0.415,1,,77,-0.2227,UNKNOWN
frame_000233_UNKNOWN_-0.417,1,,77,-0.2217,UNKNOWN
frame_000234_UNKNOWN_-0.416,1,,86,-0.1261,UNKNOWN
frame_000235_UNKNOWN_-0.344,1,,82,-0.2026,UNKNOWN
frame_000236_UNKNOWN_-0.378,1,,81,-0.2437,UNKNOWN
frame_000237_UNKNOWN_-0.342,1,,83,-0.1533,UNKNOWN
frame_000238_UNKNOWN_-0.349,1,,83,-0.1185,UNKNOWN
frame_000239_UNKNOWN_-0.389,1,,83,-0.1911,UNKNOWN
frame_000240_UNKNOWN_-0.293,1,,88,-0.1003,UNKNOWN
frame_000241_UNKNOWN_-0.322,1,,91,-0.2,UNKNOWN
frame_000242_UNKNOWN_-0.367,1,,92,-0.0986,UNKNOWN
frame_000243_UNKNOWN_-0.346,1,,92,-0.0818,UNKNOWN
frame_000244_UNKNOWN_-0.385,1,,90,-0.0519,UNKNOWN
frame_000245_UNKNOWN_-0.303,1,,97,-0.1188,UNKNOWN
frame_000246_UNKNOWN_-0.366,1,,93,-0.0605,UNKNOWN
frame_000247_UNKNOWN_-0.303,1,,103,-0.1232,UNKNOWN
frame_000248_UNKNOWN_-0.303,1,,103,-0.1314,UNKNOWN
frame_000249_UNKNOWN_-0.350,1,,101,-0.1617,UNKNOWN
frame_000250_UNKNOWN_-0.361,1,,105,-0.234,UNKNOWN
frame_000251_UNKNOWN_-0.328,1,,100,-0.1764,UNKNOWN
frame_000252_UNKNOWN_-0.342,1,,103,-0.1105,UNKNOWN
frame_000253_UNKNOWN_-0.331,1,,103,-0.127,UNKNOWN
frame_000254_UNKNOWN_-0.403,1,,103,-0.1061,UNKNOWN
frame_000255_UNKNOWN_-0.470,1,,101,-0.0996,UNKNOWN
frame_000257_UNKNOWN_-0.503,1,,101,-0.2104,UNKNOWN
frame_000258_UNKNOWN_-0.504,1,,101,-0.188,UNKNOWN
frame_000259_UNKNOWN_-0.522,1,,104,-0.166,UNKNOWN
frame_000261_UNKNOWN_-0.454,1,,108,-0.2056,UNKNOWN
frame_000262_UNKNOWN_-0.391,1,,113,-0.1488,UNKNOWN
frame_000263_UNKNOWN_-0.399,1,,113,-0.1661,UNKNOWN
frame_000264_UNKNOWN_-0.437,1,,110,-0.2235,UNKNOWN
frame_000265_UNKNOWN_-0.431,1,,114,-0.1838,UNKNOWN
frame_000266_UNKNOWN_-0.414,1,,112,-0.2182,UNKNOWN
frame_000267_UNKNOWN_-0.474,1,,107,-0.2568,UNKNOWN
frame_000268_UNKNOWN_-0.478,1,,107,-0.2552,UNKNOWN
frame_000269_UNKNOWN_-0.488,1,,114,-0.2859,UNKNOWN
frame_000270_UNKNOWN_-0.504,1,,115,-0.2517,UNKNOWN
frame_000271_UNKNOWN_-0.527,1,,114,-0.184,UNKNOWN
frame_000272_UNKNOWN_-0.517,1,,113,-0.2457,UNKNOWN
